Name,Type,main_muscle,secondary_muscle,equipment,mechanics,level,sport,force
Standing Hamstring and Calf Stretch,Stretching,Hamstrings,0,Other,N/A,Beginner,No,Static
Standing Hip Flexors,Stretching,Quadriceps,0,None,Isolation,Beginner,No,Static
Standing Lateral Stretch,Stretching,Abdominals,0,None,N/A,Beginner,No,Static
Standing Long Jump,Plyometrics,Quadriceps, Calves Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
Standing Low-Pulley One-Arm Triceps Extension,Strength,Triceps, Chest Shoulders,Cable,Isolation,Intermediate,No,Push
Standing Olympic Plate Hand Squeeze,Strength,Forearms, Biceps,Other,Isolation,Beginner,No,Static
Standing One-Arm Dumbbell Curl Over Incline Bench,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
Standing Overhead Barbell Triceps Extension,Strength,Triceps, Shoulders,Barbell,Isolation,Beginner,No,Push
Standing Palms-In Dumbbell Press,Strength,Shoulders, Triceps,Dumbbell,Compound,Intermediate,No,Push
Standing Pelvic Tilt,Stretching,LowerBack, Glutes,None,Isolation,Beginner,No,Static
Standing Soleus And Achilles Stretch,Stretching,Calves,0,None,Isolation,Beginner,No,Static
Standing Towel Triceps Extension,Strength,Triceps,0,BodyOnly,Isolation,Beginner,No,Push
Star Jump,Plyometrics,Quadriceps, Calves Glutes Hamstrings Shoulders,BodyOnly,Compound,Beginner,No,Push
Step-up with Knee Raise,Strength,Glutes, Hamstrings Quadriceps,BodyOnly,Compound,Beginner,No,Push
Stiff-Legged Barbell Deadlift,Strength,Hamstrings, Glutes LowerBack,Barbell,Compound,Intermediate,No,Pull
Stomach Vacuum,Stretching,Abdominals,0,BodyOnly,Isolation,Beginner,No,Static
Straight Raises on Incline Bench,Strength,Shoulders, Traps,Barbell,Isolation,Beginner,No,Push
Straight-Arm Pulldown,Strength,Lats,0,Cable,Isolation,Beginner,No,Pull
Sumo Deadlift,Powerlifting,Hamstrings, Adductors Forearms Glutes LowerBack MiddleBack Quadriceps Traps,Barbell,Compound,Intermediate,Yes,Pull
Sumo Deadlift with Chains,Powerlifting,Hamstrings, Abductors Adductors Forearms Glutes LowerBack MiddleBack Quadriceps Traps,Barbell,Compound,Intermediate,No,Pull
Supine Chest Throw,Plyometrics,Triceps, Chest Shoulders,MedicineBall,Compound,Beginner,No,Push
Supine Two-Arm Overhead Throw,Plyometrics,Abdominals, Chest Lats Shoulders,MedicineBall,Compound,Beginner,No,Pull
Suspended Reverse Crunch,Strength,Abdominals,0,Other,Isolation,Beginner,No,Pull
Suspended Split Squat,Strength,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,Other,Compound,Intermediate,No,Push
T-Bar Row with Handle,Strength,MiddleBack, Biceps Lats,Barbell,Compound,Beginner,No,Pull
The Straddle,Stretching,Hamstrings, Adductors Calves,None,N/A,Beginner,No,Static
Thigh Adductor,Strength,Adductors, Glutes Hamstrings,Machine,Isolation,Beginner,No,Pull
Toe Touchers,Stretching,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Trail Running/Walking,Cardio,Quadriceps, Calves Glutes Hamstrings,None,N/A,Beginner,Outdoor,No
Tricep Dumbbell Kickback,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
Triceps Overhead Extension with Rope,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
Triceps Pushdown - Rope Attachment,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
Triceps Stretch,Stretching,Triceps, Lats,None,Isolation,Beginner,No,Static
Two-Arm Dumbbell Preacher Curl,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
Two-Arm Kettlebell Jerk,Strength,Shoulders, Calves Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
Two-Arm Kettlebell Row,Strength,MiddleBack, Biceps Lats,Kettlebells,Compound,Intermediate,No,Pull
T-Bar Row with Handle,Strength,MiddleBack, Biceps Lats,Barbell,Compound,Beginner,No,Pull
The Straddle,Stretching,Hamstrings, Adductors Calves,None,N/A,Beginner,No,Static
Thigh Adductor,Strength,Adductors, Glutes Hamstrings,Machine,Isolation,Beginner,No,Pull
Toe Touchers,Stretching,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Trail Running/Walking,Cardio,Quadriceps, Calves Glutes Hamstrings,None,N/A,Beginner,Outdoor,No
Tricep Dumbbell Kickback,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
Triceps Overhead Extension with Rope,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
Triceps Pushdown - Rope Attachment,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
Triceps Stretch,Stretching,Triceps, Lats,None,Isolation,Beginner,No,Static
Two-Arm Dumbbell Preacher Curl,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
Two-Arm Kettlebell Jerk,Strength,Shoulders, Calves Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
Two-Arm Kettlebell Row,Strength,MiddleBack, Biceps Lats,Kettlebells,Compound,Intermediate,No,Pull
Underhand Cable Pulldowns,Strength,Lats, Biceps MiddleBack Shoulders,Cable,Compound,Beginner,No,Pull
Upper Back-Leg Grab,Stretching,Hamstrings, LowerBack MiddleBack,None,N/A,Beginner,No,Static
Upright Cable Row,Strength,Traps, Shoulders,Cable,Compound,Intermediate,No,Pull
Upward Stretch,Stretching,Shoulders, Chest Lats,None,N/A,Beginner,No,Static
Underhand Cable Pulldowns,Strength,Lats, Biceps MiddleBack Shoulders,Cable,Compound,Beginner,No,Pull
Upper Back-Leg Grab,Stretching,Hamstrings, LowerBack MiddleBack,None,N/A,Beginner,No,Static
Upright Cable Row,Strength,Traps, Shoulders,Cable,Compound,Intermediate,No,Pull
Upward Stretch,Stretching,Shoulders, Chest Lats,None,N/A,Beginner,No,Static
V-Bar Pulldown,Strength,Lats, Biceps MiddleBack Shoulders,Cable,Compound,Intermediate,No,Pull
Vertical Swing,Plyometrics,Hamstrings, Glutes Quadriceps Shoulders,Dumbbell,Compound,Beginner,No,Pull
V-Bar Pulldown,Strength,Lats, Biceps MiddleBack Shoulders,Cable,Compound,Intermediate,No,Pull
Vertical Swing,Plyometrics,Hamstrings, Glutes Quadriceps Shoulders,Dumbbell,Compound,Beginner,No,Pull
Walking,Cardio,Quadriceps, Calves Glutes Hamstrings,Machine,N/A,Beginner,No,N/A
Weighted Ball Side Bend,Strength,Abdominals,0,ExerciseBall,Isolation,Intermediate,No,Pull
Weighted Crunches,Strength,Abdominals,0,MedicineBall,Isolation,Beginner,No,Pull
Weighted Pull Ups,Strength,Lats, Biceps MiddleBack,Other,Compound,Intermediate,No,Pull
Weighted Sit-Ups - With Bands,Strength,Abdominals,0,Other,Isolation,Intermediate,No,Pull
Wide Stance Barbell Squat,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Barbell,Compound,Intermediate,No,Push
Wide-Grip Barbell Bench Press,Strength,Chest, Shoulders Triceps,Barbell,Compound,Intermediate,No,Push
Wide-Grip Decline Barbell Pullover,Strength,Chest, Shoulders Triceps,Barbell,Compound,Intermediate,No,Pull
Wide-Grip Pulldown Behind The Neck,Strength,Lats, Biceps MiddleBack Shoulders,Cable,Compound,Intermediate,No,Pull
Wide-Grip Standing Barbell Curl,Strength,Biceps,0,Barbell,Isolation,Beginner,No,Pull
Windmills,Stretching,Abductors, Glutes Hamstrings LowerBack,None,N/A,Intermediate,No,Pull
Wrist Circles,Stretching,Forearms,0,BodyOnly,Isolation,Beginner,No,Pull
Wrist Rotations with Straight Bar,Strength,Forearms,0,Barbell,Isolation,Beginner,No,Pull
Walking,Cardio,Quadriceps, Calves Glutes Hamstrings,Machine,N/A,Beginner,No,N/A
Weighted Ball Side Bend,Strength,Abdominals,0,ExerciseBall,Isolation,Intermediate,No,Pull
Weighted Crunches,Strength,Abdominals,0,MedicineBall,Isolation,Beginner,No,Pull
Weighted Pull Ups,Strength,Lats, Biceps MiddleBack,Other,Compound,Intermediate,No,Pull
Weighted Sit-Ups - With Bands,Strength,Abdominals,0,Other,Isolation,Intermediate,No,Pull
Wide Stance Barbell Squat,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Barbell,Compound,Intermediate,No,Push
Wide-Grip Barbell Bench Press,Strength,Chest, Shoulders Triceps,Barbell,Compound,Intermediate,No,Push
Wide-Grip Decline Barbell Pullover,Strength,Chest, Shoulders Triceps,Barbell,Compound,Intermediate,No,Pull
Wide-Grip Pulldown Behind The Neck,Strength,Lats, Biceps MiddleBack Shoulders,Cable,Compound,Intermediate,No,Pull
Wide-Grip Standing Barbell Curl,Strength,Biceps,0,Barbell,Isolation,Beginner,No,Pull
Windmills,Stretching,Abductors, Glutes Hamstrings LowerBack,None,N/A,Intermediate,No,Pull
Wrist Circles,Stretching,Forearms,0,BodyOnly,Isolation,Beginner,No,Pull
Wrist Rotations with Straight Bar,Strength,Forearms,0,Barbell,Isolation,Beginner,No,Pull
Yoke Walk,Strongman,Quadriceps, Abdominals Abductors Adductors Calves Glutes Hamstrings LowerBack,Other,Compound,Intermediate,Yes,N/A
Yoke Walk,Strongman,Quadriceps, Abdominals Abductors Adductors Calves Glutes Hamstrings LowerBack,Other,Compound,Intermediate,Yes,N/A
Zercher Squats,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Expert,No,Push
Zottman Preacher Curl,Strength,Biceps, Forearms,Dumbbell,Isolation,Intermediate,No,Pull
Zercher Squats,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Expert,No,Push
Zottman Preacher Curl,Strength,Biceps, Forearms,Dumbbell,Isolation,Intermediate,No,Pull
